wd:Q191067,pr:publication-type,wd:P1476,wd:P1680,wd:P50,Helper author,wd:P356,wd:P6962,wd:P136,wd:P304,wd:P433,wd:P478,wd:P577,wd:P582,wd:P580,wd:P527,Helper works included,wd:P921,Helper subject Item ID,pr:subject-place,pr:subject-of,Helper subject of,pr:note-trend,pr:source,pr:internal-source,wd:P291,wd:P17,pr:publication-location,wd:P123,Helper publisher,pr:loc-subject,wd:P856,wd:P655,Helper translator,wd:P736,Helper cover artist,wd:P110,Helper illustrator,wd:P767,Helper contributor,pr:author-location,wd:P407,wd:P7937,pr:dedication,wd:P7535,pr:note-contents,wd:P485,Helper holding institution,pr:note-holding-institution,pr:note-copy,wd:P170,Helper data curator,pr:fieldwork-date,pr:fieldwork-note,pr:library-loan,pr:library-copy-url
,,الولايات المتحدة والحركات الإسلامية قبل 11 أيلول/سبتمبر 2001 وبعده;The United States and the Islamic Movements before and after 11 September 2001,,5625,"Khalidi, Rashid",,,,,,,1/1/2002,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,مركزية القدس في اتفاق نهاية الصراع;The Centrality of Jerusalem to an End of Conflict Agreement,,5625,"Khalidi, Rashid",,,,,,,1/4/2001,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ذكريات عن العلاقات بين الطوائف في القدس قبل عام 1948;Memories of Communal Relations in Jerusalem Prior to 1948,,10714,"Davis, Rochelle",,,,,,,1/1/2000,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,شاهد على القدس: أرمن القدس تأليف جون ميلكون روز;Jerusalem Witness: Armenians of Jerusalem by John H. Melkon Rose,,10714,"Davis, Rochelle",,,,,,,1/1/2000,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,القدس الغربية وسياسة اللاجئين;West Jerusalem and the Politics of Refugees,,10714,"Davis, Rochelle",,,,,,,1/1/1999,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,تغيير وجه المدينة المقدسة: الرسائل السياسية في الطوبوغرافيا المعمارية للقدس (الجزء الثاني);Transforming the Face of the Holy City: Political Messages in the Built Topography of Jerusalem (part 2 of 2),,5625,"Khalidi, Rashid",,,,,,,1/1/1999,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,تغيير وجه المدينة المقدسة: الرسائل السياسية في الطوبوغرافيا المعمارية للقدس (الجزء الأول);Transforming the Face of the Holy City: Political Messages in the Built Topography of Jerusalem (part 1 of 2),,5625,"Khalidi, Rashid",,,,,,,1/1/1999,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"سعيد. ""نضال الفلسطينيين"" و ""صُوَر المثقف"" (بالإنكليزية);Said: Politics of Dispossession and Representations of the Intellectual",,5625,"Khalidi, Rashid",,,,,,,1/9/1995,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"سعيد. ""نضال الفلسطينيين"" و ""صُوَر المثقف"";Said: Politics of Dispossession and Representations of the Intellectual",,5625,"Khalidi, Rashid",,,,,,,1/4/1995,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ملاحظات حول حق العودة;Observations on the Right of Return,,5625,"Khalidi, Rashid",,,,,,,1/1/1992,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,قرارات المجلس الوطني الفلسطيني التاسع عشر;The Resolutions of the 19th Palestine National Council,,5625,"Khalidi, Rashid",,,,,,,1/1/1990,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,إثبات الوجود من خلال التمرّد (مقابلة);Affirmation of Existence Through Rebellion (Interview),,5698,"Genet, Jean",,,,,,,1/1/1987,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,المعضلة الفلسطينية: سياسة منظمة التحرير الفلسطينية بعد لبنان;The Palestinian Dilemma: PLO Policy After Lebanon,,5625,"Khalidi, Rashid",,,,,,,1/10/1985,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"النضج السياسي لـ""الأقلية القومية"";The Political Coming-of-Age of the ""National Minority""",,5456,"Touma, Emile",,,,,,,1/1/1985,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,إميل توما;Emile Touma,,5456,"Touma, Emile",,,,,,,1/10/1983,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,القتال المرن: تقرير عن المجلس الوطني الفلسطيني السادس عشر;Flexible Militancy: Report on the Sixteenth Palestine National Council,,5641,"Abu-Lughod, Ibrahim",,,,,,,1/7/1983,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,أربع ساعات في شاتيلا;Four Hours in Shatila,,5698,"Genet, Jean",,,,,,,1/4/1983,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,التاريخ الشفوي: قصة فلسطيني تحت الاحتلال;Oral History : The Story of a Palestinian Under Occupation,,5448,"Baransi, Salih",,,,,,,1/10/1981,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,المنفى الفلسطيني ككاتب;The Palestinian Exile as Writer,,5459,"Jabra, Jabra Ibrahim",,,,,,,1/1/1979,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,العرب الفلسطينيون واليهود الإسرائيليون;Palestinian Arabs and Israeli Jews,,5456,"Touma, Emile",,,,,,,1/1/1977,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,مصير العرب في إسرائيل;The Fate of the Arabs in Israel,,5490,"Zayyad, Tawfiq",,,,,,,1/10/1976,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,الفلسطينيون;The Palestinians,,5698,"Genet, Jean",,,,,,,1/10/1973,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,تعليم جالية في المنفى: التجربة الفلسطينية;Educating a Community in Exile: The Palestinian Experience,,5641,"Abu-Lughod, Ibrahim",,,,,,,1/4/1973,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,العوامل الاجتماعية المؤثّرة في مواقف الطلاب الجامعيين في لبنان من حركة المقاومة الفلسطينية;Social Factors Influencing Attitudes of University Students in Lebanon Towards the Palestinian Resistance Movement.,,9735,"Barakat, Halim",,,,,,,1/10/1971,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"إلياس خوري في روايته ''اسمي آدم'': عنف التاريخ ودلالات الموت;Elias Khoury’s Novel ""My Name Is Adam"": The Violence of History and the Significance of Death",,5642,"Darraj, Faisal",,,,,,,7/1/2021,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,الخيانة ليست الحكاية;Treason Isn’t the Story,,5733,"Khoury, Elias",,,,,,,4/1/2021,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,مدينة الغرباء;City of Strangers,,5733,"Khoury, Elias",,,,,,,25/9/2020,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,بيروت يا بيروت;Beirut O Beirut,,5694,"Kassir, Samir",,,,,,,23/9/2020,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,التطبيع والتتبيع;Normalization and Subordination,,5733,"Khoury, Elias",,,,,,,22/9/2020,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"من ""الطعنة في الظهر"" إلى الخلاص الجيد"": ذكريات من أيام الأتراك;From “Stab in the Back” to “Good Riddance”: Recollections of Ayyam al-Atrak",,5628,"Tamari, Salim",,,,,,,17/7/2020,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,محسن إبراهيم: بلاغة الصمت;Mohsen Ibrahim: Rhetoric of Silence,,5733,"Khoury, Elias",,,,,,,23/6/2020,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"الفلسطيني في عزلته نقّار خشب لشجرة حياته;The Palestinian in His Isolation, a Woodpecker for His Life Tree",,7579,"Bisharat, Ahlam",,,,,,,22/6/2020,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,الأدب في زمن الوباء;Literature in the Age of the Epidemic,,5733,"Khoury, Elias",,,,,,,22/6/2020,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,من جائحة عمواس إلى طاعون يافا;From the Pandemic of Amwas to the Plague of Jaffa,,5628,"Tamari, Salim",,,,,,,22/6/2020,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,جرّافة الصفقة;The Bulldozer of the Deal,,5733,"Khoury, Elias",,,,,,,#########,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,طعنونا من الخلف!! الرؤيا التركية لسورية وفلسطين في نهاية الحكم العثماني;They Stabbed Us in the Back!! Turkish Perception of Syria and Palestine at the End of Ottoman Rule,,5628,"Tamari, Salim",,,,,,,#########,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,بالوحدة والمقاومة يُسقط شعبنا صفقة القرن وينتصر;In Unity and Resistance the Palestinian People Will Bring down the Deal of the Century and Will Prevail,,8956,"Saadat, Ahmad",,,,,,,#########,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,تأريخ النكبة: اتجاهات بحثية جديدة;Historiography of the Nakba: New Research Trends,,5628,"Tamari, Salim",,,,,,,8/1/2020,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,الانتفاضة اللبنانية: موت اللغة القديمة;The Lebanese Uprising: Death of the Old Language,,5733,"Khoury, Elias",,,,,,,8/1/2020,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,إلى أين؟;إلى أين؟,,5733,"Khoury, Elias",,,,,,,1/9/2019,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,مقدمة;Introduction,,5733,"Khoury, Elias",,,,,,,1/6/2019,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,فلسطين: عود على بدء;Palestine: Back to the Start,,7663,"Antoon, Sinan",,,,,,,1/6/2019,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,المأزق الإسرائيلي والانسداد العربي;The Israeli Impasse and the Arab Obstruction,,5733,"Khoury, Elias",,,,,,,1/6/2019,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,الانتخابات الإسرائيلية وسؤال المعنى;The Israeli Elections and the Question of Meaning,,5733,"Khoury, Elias",,,,,,,1/3/2019,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"""رباعية البحيرة"" وصور الهوية الفلسطينية;""رباعية البحيرة"" وصور الهوية الفلسطينية",,5642,"Darraj, Faisal",,,,,,,1/3/2019,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,مدخل إلى قراءة الهولوكوست والنكبة;Introduction to a Reading of the Holocaust and the Nakba,,5733,"Khoury, Elias",,,,,,,1/1/2019,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"حقول الموت في زمن ''السلام'';Fields of Death in a Time of ""Peace""",,5733,"Khoury, Elias",,,,,,,27/9/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,عودة الفلسطيني بين الوهم والمتخيل;The Palestinian’s Return: Between Illusion and Imagination,,5642,"Darraj, Faisal",,,,,,,27/9/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,عن العودة وحلم العودة;On Return and the Dream of Return,,5657,"Shukair, Mahmoud",,,,,,,27/9/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,أديل عزار: مؤسسة خيرية عامة ونسوية مبكرة;Adele Azar: Public Charity and Early Feminism,,5628,"Tamari, Salim",,,,,,,1/8/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,أمام بوابات غزة;In Front of the Gates of Gaza,,5733,"Khoury, Elias",,,,,,,1/6/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,عيون الكلمات;The Eyes of Words,,5733,"Khoury, Elias",,,,,,,1/6/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,لا تخافوا على القدس;Do Not Be Afraid for Jerusalem,,5733,"Khoury, Elias",,,,,,,1/3/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"يوم نام ""في بيتنا رجل"";The Day a Man Slept in Our House",,5730,"Boullata, Kamal",,,,,,,1/3/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,عرض دونالد ترامب السخي بشأن القدس;Donald Trump's Generous Offer on Jerusalem,,5628,"Tamari, Salim",,,,,,,22/1/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,تجربتي في التصميم الفني لنصرة فلسطين;My Experience in Artistic Design for Palestine,,5730,"Boullata, Kamal",,,,,,,1/1/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,المصالحة في إطار برنامج وطني شامل;Reconciliation in the Framework of a Comprehensive National Program,,8956,"Saadat, Ahmad",,,,,,,1/1/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,القدس في زمن الثورة المضادة;Jerusalem in the Time of the Counter Revolution,,5733,"Khoury, Elias",,,,,,,1/1/2018,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,فلسطين في ليل الاحتلال;Palestine under Occupation,,5733,"Khoury, Elias",,,,,,,1/9/2017,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,حزيران/يونيو.. الهزيمة من مسافة ما;June 1967: Defeat at a Distance,,5657,"Shukair, Mahmoud",,,,,,,1/9/2017,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,حرب حزيران / يونيو وتأسيس الهزيمة المتوالدة;حرب حزيران / يونيو وتأسيس الهزيمة المتوالدة,,5642,"Darraj, Faisal",,,,,,,1/6/2017,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,الهزيمة والنكبة المستمرة;The [1967] Defeat and the Ongoing Nakba,,5733,"Khoury, Elias",,,,,,,1/6/2017,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,لقاء مع إبراهيم الدكّاك (1929-2016): عمر من النضال من أجل الحقوق الفلسطينية;Interview with Ibrahim Dakkak (1929-2016): A Life of Struggle for Palestinian Rights,,5628,"Tamari, Salim",,,,,,,12/4/2017,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,أين تقع فلسطين؟;Where Is Palestine Located?,,5733,"Khoury, Elias",,,,,,,1/3/2017,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,مَن يروي الحكاية؟;Who Tells the Story [of Palestinian Culture]?,,5733,"Khoury, Elias",,,,,,,1/1/2017,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,الثقافة بين الفاشية والصهيونية;Culture between Fascism and Zionism,,5642,"Darraj, Faisal",,,,,,,1/9/2016,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,الشاعر والأوغاد;The Poet and the Villains [On Mahmoud Darwish],,5733,"Khoury, Elias",,,,,,,1/9/2016,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,قصيدتان;Two Poems by Mahmoud Darwish,,5484,"Darwish, Mahmoud",,,,,,,1/9/2016,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,أين نحن من الإعراب؟;أين نحن من الإعراب؟,,5733,"Khoury, Elias",,,,,,,1/6/2016,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,محمد كرد علي وشبح جمال باشا: مثقفو سوريا وفلسطين بين هويتين: العثمانية والعروبة;A Scientific Expedition to Gallipoli: The Syrian-Palestinian Intelligentsia and the Ottoman Campaign against Arab Separatism,,5628,"Tamari, Salim",,,,,,,1/6/2016,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,رقصة نجلا: حكاية قطار البيرة - القدس المحيِّرة;Najla’s Dance: The Elusive History of the al-Bireh–Jerusalem Train,,5628,"Tamari, Salim",,,,,,,1/1/2016,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,بلاغة الصمت الفلسطيني;The Silence of the Palestinians,,5733,"Khoury, Elias",,,,,,,1/1/2016,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,في هذا العدد: زمن الغبار;في هذا العدد: زمن الغبار,,5733,"Khoury, Elias",,,,,,,1/9/2015,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,فلسطين... سؤالاً;Palestine: A Question,,5733,"Khoury, Elias",,,,,,,1/3/2015,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,بانكسي في غزة: الأمل صار اسماً آخر للألم;Banksy in Gaza: Hope—Another Name for Pain,,5733,"Khoury, Elias",,,,,,,1/3/2015,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,كنتَ هنا!;You WERE Here!,,5628,"Tamari, Salim",,,,,,,1/1/2015,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jq/about,,Ramallah,Palestine,,10489,Jerusalem Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"لقاء مع أحمد سعدات: القيادة من السجن، وإنهاء المفاوضات، وإعادة بناء المقاومة;Interview with Ahmad Saadat: Leading from Prison, Ending Negotiations, and Rebuilding the Resistance",,8956,"Saadat, Ahmad",,,,,,,1/8/2014,,,,,,,,,,,https://www.palestine-studies.org/en/journals/jps/about,,Washington D.C.,United States of America,,6146,Journal of Palestine Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"استبعاد النكبة الفلسطينية من دراسات ""نوع الصدمة"";The Nakba's Exclusion from the 'Trauma Genre'",,9937,"Sayigh, Rosemary",,,,,,,1/6/2014,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,وقف المراهنة على المفاوضات;Ending the Gamble on Negotiations,,8956,"Saadat, Ahmad",,,,,,,1/3/2014,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,فوزي الأسمر: بين منفيين;فوزي الأسمر: بين منفيين,,5733,"Khoury, Elias",,,,,,,1/1/2014,,,,,,,,,,,https://www.palestine-studies.org/en/journals/mdf/about,,Beirut,Lebanon,,6111,Majallat al-Dirasat al-Filastiniyya,,,,,,,,,,,,,,,,,,,,,,,,,,
